===========RESULTADOS============
SESION: Thu Sep 15 11:27:15 2016
=================================
u1, v1, u2, v2, x, y, z, obj
215.649, 244.66, 189.649, 161.951, 8.986, 57.7708, 132.819, 0.0792849
209.903, 582.025, 182.739, 492.241, -91.3778, 479.973, 134.123, 0.0776632
158.207, 147.558, 132.92, 56.6043, 152.935, 0.936776, 228.322, 0.0767721
196.721, 168.323, 170.992, 81.3957, 101.478, -3.24037, 169.207, 0.0766016
155.097, 261.287, 127.69, 190.6, -159.995, 2.5932, 220.653, 0.0759776
245, 169.298, 219.496, 82.2034, 111.242, -0.28291, 97.5852, 0.074938
165.169, 570.514, 137.098, 486.759, -157.024, 450.229, 196.342, 0.0654578
193.834, 236.896, 167.974, 144.169, 113.324, 101.958, 173.863, 0.0620885
62.3201, 300.963, 34.7395, 221.798, -103.599, 96.1968, 366.56, 0.0582388
226.589, 173.975, 200.954, 86.2594, 111.367, 8.34668, 125.423, 0.0577336
185.966, 172.938, 160.128, 87.7054, 77.7067, -9.44775, 183.751, 0.0559684
222.117, 237.285, 196.254, 149.843, 65.7924, 75.8953, 128.266, 0.0535482
58.9157, 475.682, 31.444, 383.262, -70.067, 349.619, 355.313, 0.0514462
284.615, 249.859, 259.698, 167.45, 18.6825, 65.9303, 25.6206, 0.0511972
196.896, 177.47, 171.098, 91.4129, 85.6215, 1.00564, 167.763, 0.050344
163.024, 483.127, 135.479, 396.722, -95.2995, 352.127, 204.073, 0.0480656
148.764, 227.229, 122.682, 140.076, 53.6395, 59.948, 237.076, 0.0453381
152.974, 135.708, 127.769, 45.4182, 154.354, -14.7986, 236.17, 0.0406222
162.607, 548.207, 134.51, 466.287, -166.294, 419.055, 200.327, 0.0383807
154.377, 265.893, 128.229, 175.973, 57.6654, 116.642, 227.721, 0.0378445
155.21, 196.133, 129.271, 109.841, 67.2354, 21.5389, 228.853, 0.0377505
185.55, 169.683, 159.576, 87.9951, 39.584, -36.8256, 182.159, 0.0368708
223.683, 269.742, 197.753, 178.369, 85.4332, 131.731, 128.243, 0.0367101
237.873, 544.437, 211.337, 456.98, -86.1533, 434.722, 92.9538, 0.0359697
210.894, 553.781, 183.72, 472.627, -157.328, 429.499, 126.906, 0.0356218
243.6, 207.041, 218.076, 125.842, 21.0435, 5.12734, 89.544, 0.991579
225.548, 181.116, 199.874, 96.4045, 73.6738, -2.96435, 123.186, 0.989721
239.106, 208.139, 213.514, 126.718, 21.9696, 7.68846, 96.8083, 0.988835
248.73, 208.736, 223.284, 127.74, 18.7624, 6.06039, 81.1398, 0.980478
261.198, 163.124, 235.814, 75.1551, 127.672, -1.07611, 75.1029, 0.970063
275.574, 178.808, 250.323, 91.0835, 117.205, 14.6745, 52.3482, 0.965659
285.252, 194.328, 260.305, 110.34, 68.8038, 9.12143, 30.1692, 0.959299
244.16, 184.753, 218.654, 100.467, 70.1073, -1.14568, 94.1486, 0.958346
249.561, 190.323, 224.101, 105.893, 69.1456, 6.26198, 85.8053, 0.956636
219.85, 204.903, 194.021, 123.293, 22.136, 4.36949, 127.161, 0.955189
231.022, 225.141, 205.27, 142.112, 27.8821, 37.3442, 110.516, 0.953024
268.267, 178.574, 242.911, 90.0976, 123.923, 18.9013, 64.4565, 0.951821
243.125, 217.8, 217.558, 135.722, 24.366, 23.4423, 90.9703, 0.950161
253.2, 192.372, 227.797, 108.721, 59.8964, 3.76917, 78.9855, 0.948547
233.674, 200.476, 208.029, 119.336, 22.3773, -3.42522, 105.303, 0.932989
257.774, 168.766, 232.365, 81.1997, 118.951, 2.37836, 79.2441, 0.916503
239.54, 173.769, 213.994, 87.6001, 97.2132, -1.43909, 104.274, 0.915074
245.176, 186.946, 219.688, 103.47, 59.8366, -3.83188, 91.3493, 0.906902
262.789, 231.993, 237.454, 148.279, 38.2598, 50.8412, 62.3346, 0.873666
231.128, 202.3, 205.441, 118.133, 54.8628, 17.742, 112.91, 0.8538
265.509, 183.249, 240.236, 98.1208, 84.4694, 3.06495, 62.9724, 0.85346
282.607, 174.106, 257.485, 87.2994, 111.804, 3.87154, 40.4906, 0.850517
232.157, 201.856, 206.48, 116.734, 65.84, 23.131, 112.521, 0.850143
233.777, 195.846, 208.134, 111.248, 64.3148, 13.1429, 109.752, 0.84983
237.897, 217.754, 212.257, 135.607, 24.0332, 23.5911, 99.1683, 0.827712
286.03, 182.693, 261.095, 98.5976, 77.3711, -3.70602, 29.7924, 0.816176
230.101, 178.139, 204.473, 89.3912, 120.053, 19.2601, 121.161, 0.815776
262.796, 178.489, 237.388, 89.9527, 123.59, 19.0502, 72.6545, 0.812288
265.608, 180.316, 240.345, 95.3419, 84.6849, -1.24708, 62.7355, 0.808857
226.592, 182.134, 200.924, 97.0342, 77.479, 0.687068, 121.994, 0.805135
239.173, 215.462, 213.558, 133.484, 23.8109, 19.8861, 97.0821, 0.804569
271.52, 170.232, 246.236, 82.6096, 121.038, 4.5699, 58.7455, 0.803701
250.261, 212.83, 224.826, 131.646, 18.7697, 12.2393, 78.8218, 0.800409
268.631, 183.887, 243.406, 98.998, 82.0295, 2.3391, 57.789, 0.785784
230.036, 225.489, 204.271, 142.034, 32.1639, 40.2258, 112.52, 0.783659
237.66, 197.849, 212.04, 111.79, 79.6967, 24.5069, 105.592, 0.768361
240.007, 168.292, 214.472, 81.4089, 108.755, -2.8157, 104.818, 0.765982
243.431, 192.806, 217.9, 108.616, 63.6752, 7.40074, 94.6864, 0.739179
239.844, 171.153, 214.3, 84.2327, 107.177, 0.523399, 104.94, 0.732777
244.423, 205.118, 218.92, 124.261, 18.4697, 0.667856, 87.8688, 0.731467
232.011, 174.439, 206.402, 85.9355, 120.371, 13.8617, 118.29, 0.729962
268.82, 173.354, 243.472, 84.8174, 128.13, 13.6455, 64.0496, 0.727024
268.534, 171.156, 243.191, 82.7636, 128.037, 10.3734, 64.3795, 0.726751
241.691, 176.375, 216.158, 90.3232, 94.5814, 0.721773, 100.738, 0.721724
222.073, 190.216, 196.339, 105.932, 62.2278, 4.45522, 127.478, 0.717552
233.033, 200.394, 207.37, 115.945, 59.583, 17.3684, 110.454, 0.715134
228.613, 169.741, 203.001, 82.1532, 113.283, 3.04458, 122.531, 0.714294
260.654, 205.712, 235.419, 125.132, 18.3246, 0.17839, 61.9146, 0.709646
250.089, 184.414, 224.652, 100.209, 70.5638, -1.90666, 84.9992, 0.700202
227.506, 172.313, 201.88, 84.9742, 108.643, 4.20128, 123.738, 0.657117
225.521, 183.696, 199.844, 97.6025, 87.1014, 8.69035, 124.646, 0.647916
241.23, 203.805, 215.681, 122.743, 20.9739, 0.299225, 93.2224, 0.625372
244.225, 190.889, 218.711, 106.909, 62.7456, 3.90562, 93.2908, 0.609157
226.028, 167.834, 200.41, 79.9034, 117.804, 3.14413, 126.851, 0.603625
234.639, 201.014, 209.007, 120.215, 18.2883, -4.96764, 103.323, 0.597202
224.703, 203.418, 198.935, 122.065, 21.1218, 1.13421, 119.4, 0.589483
280.568, 177.722, 255.367, 89.8403, 120.501, 14.568, 45.228, 0.587613
248.529, 160.92, 223.054, 73.0237, 126.188, -4.08528, 93.9357, 0.585906
224.749, 204.276, 198.978, 123.06, 19.0246, 1.28165, 119.125, 0.585408
238.74, 170.838, 213.192, 84.2696, 103.389, -2.09509, 106.158, 0.581751
228.91, 176.985, 203.275, 93.1483, 67.3038, -13.2313, 117.278, 0.575997
227.042, 179.56, 201.387, 94.0309, 84.0074, 0.581791, 121.953, 0.556566
282.636, 178.944, 257.485, 91.585, 114.554, 12.7059, 41.1447, 0.553827
228.818, 173.493, 203.195, 87.364, 94.9993, -2.21118, 120.325, 0.553442
230.748, 177.002, 205.126, 88.8183, 115.005, 14.5823, 119.63, 0.548742
254.4, 183.636, 229.038, 100.384, 61.2407, -8.87072, 77.0119, 0.546518
241.855, 175.264, 216.331, 89.6541, 90.5333, -3.3387, 99.971, 0.538666
238.96, 178.211, 213.401, 92.2103, 92.2958, 2.36886, 104.672, 0.537368
225.868, 174.393, 200.231, 86.0276, 117.839, 12.8347, 127.179, 0.534865
234.156, 197.827, 208.506, 111.911, 77.4697, 23.5003, 110.684, 0.530168
253.707, 167.162, 228.281, 80.236, 112.443, -3.53272, 84.4716, 0.529958
246.64, 190.038, 221.16, 106.343, 60.586, 1.17461, 89.2413, 0.529573
257.068, 188.326, 231.716, 104.417, 66.1188, 0.863054, 73.6605, 0.525642
259.669, 199.255, 234.365, 116.483, 47.0375, 6.41508, 67.3008, 0.523303
221.719, 214.589, 195.884, 132.531, 21.542, 18.6698, 124.267, 0.521516
245.687, 168.692, 220.199, 82.2299, 104.942, -5.00219, 95.7384, 0.520993
